pathogen,n_eval,precision_fulltext_direct,recall_fulltext_direct,f1_fulltext_direct,precision_perg_conditioned,recall_perg_conditioned,f1_perg_conditioned,precision,recall,f1,model
Lassa,113,0.7680701754385966,0.7436224489795918,0.7477052840486231,0.7804054054054055,0.7514349489795918,0.7559800664451828,0.6266025641025641,0.5377869897959183,0.46654351395730703,deepseek
SARS,266,0.7427721088435374,0.7380725475013401,0.740121146533195,0.7555555555555555,0.7472750014890702,0.7506199721768584,0.7332657200811359,0.6095955685270118,0.5920170008315624,deepseek
Zika,402,0.7228672387682988,0.6934357361923662,0.6986095965103598,0.7811370676303562,0.7245560681425736,0.7326285574264011,0.6062064118505703,0.5506301383984948,0.5160462537620782,deepseek
MERS,360,0.7672582076308785,0.7501993620414673,0.7565714579178471,0.7819928362097037,0.7589712918660287,0.7670626601444211,0.7363517489375613,0.5960925039872408,0.5764705882352942,deepseek
Nipah,136,0.8030937802126974,0.7351837959489872,0.7544444444444445,0.8341828066598709,0.7459364841210303,0.7691654879773692,0.73046875,0.5590147536884221,0.5294117647058824,deepseek
Overall,1842,0.7609034712613487,0.721738755038764,0.7291217608753812,0.7826676635748919,0.733660094698586,0.742685315398715,0.6400227548705313,0.5615303540439659,0.5217466167536414,deepseek
Marburg,68,0.7121374865735768,0.7484276729559749,0.7254901960784315,0.8108465608465609,0.7955974842767295,0.8027715114405414,0.6578616352201259,0.6578616352201259,0.6578616352201259,kimi
Ebola,642,0.7726450715421304,0.7936631099029292,0.7414847118944365,0.8628335544744213,0.8950950908098505,0.8697134507671077,0.7216614906832298,0.7444427796269144,0.7146702089359536,kimi
Lassa,128,0.7818136891524586,0.7946267114440713,0.7647058823529411,0.8263736263736263,0.8452596228364764,0.8253968253968254,0.7382316313823163,0.7470937742185482,0.7408906882591093,kimi
SARS,321,0.7275256511444357,0.7567693952079808,0.6969077032024549,0.7847876899104012,0.825576734657522,0.7850271937657278,0.6700738437621454,0.694887325198183,0.6630329457364341,kimi
Zika,470,0.6608013707657836,0.6721774193548387,0.6219650184723188,0.7894815478858509,0.8125,0.7960895470584832,0.627630217316316,0.6417338709677419,0.6121808316930268,kimi
MERS,403,0.7754064039408867,0.8125768757687577,0.7695211224645417,0.8389703643560338,0.8734624846248462,0.8484692564960123,0.7601570415400203,0.7871240076037124,0.7663768115942029,kimi
Nipah,143,0.8804988662131519,0.890232558139535,0.8851010101010102,0.9218077474892397,0.9102325581395349,0.9157237152286657,0.8328320802005013,0.8088372093023256,0.8191508581752485,kimi
Overall,2175,0.7586897913332035,0.7812105346820125,0.7435965206523049,0.8335858701908763,0.85110342504928,0.8347416428790521,0.7154925628720935,0.725997228876793,0.7105948542305859,kimi
Marburg,60,0.8300000000000001,0.7444444444444445,0.7726315789473684,0.8758169934640523,0.7555555555555555,0.7916666666666666,0.8605769230769231,0.7222222222222222,0.7579560735096369,glm
Ebola,505,0.807258267320508,0.8108641032980313,0.8037110180172045,0.8532559091052151,0.8569633940781731,0.8543397777066566,0.7534568266167438,0.7454282352192857,0.7476383918496308,glm
Lassa,114,0.8031397174254318,0.8031397174254318,0.8031397174254318,0.8321611253196931,0.8262166405023548,0.8285714285714285,0.7732884399551067,0.7293563579277864,0.7333778817240227,glm
SARS,265,0.7769884742668036,0.7909325182787965,0.7772463768115943,0.7930184569528832,0.8063646170442287,0.7953369763205829,0.7325971845537905,0.715869591274122,0.7210526315789474,glm
Zika,419,0.6648879771344275,0.6722158023978044,0.6658221909453437,0.7861932023312187,0.7671770427078819,0.7738100408907862,0.6015449070437286,0.5933602965958881,0.5945625370665168,glm
MERS,364,0.8130098614159814,0.8119775339602926,0.8124862013982583,0.8437203630944317,0.8313740856844305,0.8367387620851191,0.7559391827684511,0.6846917450365726,0.6946280572687631,glm
Nipah,134,0.8170588235294117,0.7754919499105546,0.790439926565581,0.8298829882988299,0.7809864554050601,0.7979714912280702,0.7204625439919559,0.6120623562484028,0.6134615384615385,glm
Overall,1861,0.7874775887275093,0.7727237242450508,0.7750681443015404,0.8305784340809034,0.8035196844253835,0.8112050204956158,0.7425522868580999,0.6861415435034687,0.6946681587798652,glm
Marburg,57,0.7990033222591362,0.7857142857142857,0.7918864097363083,0.7990033222591362,0.7857142857142857,0.7918864097363083,0.7617924528301887,0.5880952380952381,0.5894736842105264,gpt
Ebola,557,0.7916431356729864,0.791204586343009,0.7594247182898842,0.855886524822695,0.8705459037082786,0.8532995171438327,0.6119746689694876,0.5992320292151123,0.5994500846023689,gpt
