pathogen,field,precision,recall,f1,model
Zika,outbreak_end_month,0.955,0.933,0.944,gpt
Zika,cases_confirmed,0.911,0.953,0.932,gpt
Zika,deaths,0.978,1.0,0.989,gpt
Zika,outbreak_country,1.0,1.0,1.0,gpt
Zika,outbreak_location,0.689,0.705,0.697,gpt
Zika,mode_of_detection,0.8,0.8,0.8,gpt
Zika,pre_outbreak,0.182,0.051,0.08,gpt
Zika,outbreak_is_currently_ongoing,0.978,0.978,0.978,gpt
Zika,asymptomatic_transmission_described,1.0,1.0,1.0,gpt
Zika,Article Flagging,0.595,0.748,0.574,gpt
