pathogen,model,field,precision,recall,f1
Zika,gpt,single_type_uncertainty,0.977,0.987,0.982
Zika,gpt,population_sex,0.601,0.599,0.6
Zika,gpt,population_group,0.491,0.444,0.467
Zika,gpt,population_sample_type,0.422,0.381,0.401
Ebola,oss,Article Flagging,0.596,0.917,0.722
Lassa,oss,Article Flagging,0.557,0.982,0.711
SARS,oss,Article Flagging,0.5,0.815,0.62
Zika,oss,Article Flagging,0.403,0.957,0.567
Ebola,deepseek,Article Flagging,0.492,0.905,0.637
Lassa,deepseek,Article Flagging,0.538,0.909,0.676
SARS,deepseek,Article Flagging,0.391,0.778,0.52
Zika,deepseek,Article Flagging,0.414,0.937,0.575
Ebola,kimi,Article Flagging,0.673,0.896,0.769
Lassa,kimi,Article Flagging,0.703,0.945,0.806
SARS,kimi,Article Flagging,0.561,0.685,0.617
Zika,kimi,Article Flagging,0.561,0.865,0.681
Ebola,glm,Article Flagging,0.725,0.822,0.77
Lassa,glm,Article Flagging,0.774,0.873,0.821
SARS,glm,Article Flagging,0.576,0.667,0.618
Zika,glm,Article Flagging,0.619,0.748,0.678
Ebola,gpt,Article Flagging,0.578,0.934,0.714
Lassa,gpt,Article Flagging,0.579,1.0,0.733
SARS,gpt,Article Flagging,0.471,0.833,0.602
Zika,gpt,Article Flagging,0.431,0.955,0.594
